algo_id,created_at,backtest_start,backtest_end,fawce_grade,Justin_grade,Jess_grade,Andrew_grade
82243,2014-06-26 19:38:39.000,2010-01-01 00:00:00.000,2015-09-24 00:00:00.000,B,,,B
81623,2015-03-04 15:46:45.921,2010-01-01 00:00:00.000,2015-09-23 00:00:00.000,z,,B,
81638,2015-03-04 15:46:45.921,2003-01-01 00:00:00.000,2015-09-23 00:00:00.000,B,,,
81641,2015-03-11 18:50:17.817,2003-01-01 00:00:00.000,2015-09-23 00:00:00.000,A,A,,A
81645,2015-03-02 16:54:07.711,2003-01-01 00:00:00.000,2015-09-23 00:00:00.000,B,,,B
81646,2015-03-10 16:41:15.844,2003-01-01 00:00:00.000,2015-09-23 00:00:00.000,B,,,
81622,2015-03-11 22:20:59.066,2010-01-01 00:00:00.000,2015-09-23 00:00:00.000,A,A,,A
81620,2015-03-11 21:04:33.751,2010-01-01 00:00:00.000,2015-09-23 00:00:00.000,A,A,,B+
82011,2015-02-02 14:15:35.521,2010-01-01 00:00:00.000,2015-09-24 00:00:00.000,C,,,
82230,2014-07-26 10:12:49.000,2010-01-01 00:00:00.000,2015-09-24 00:00:00.000,B,,,
82295,2014-07-10 16:39:32.000,2003-01-01 00:00:00.000,2015-09-24 00:00:00.000,B,,,B
81619,2015-03-11 18:50:17.817,2010-01-01 00:00:00.000,2015-09-23 00:00:00.000,A,A,,
81618,2015-03-02 16:54:07.711,2010-01-01 00:00:00.000,2015-09-23 00:00:00.000,C,,B,
81608,2015-03-13 19:46:42.203,2010-01-01 00:00:00.000,2015-09-23 00:00:00.000,A-,,,
81574,2015-03-24 07:45:26.192,2003-01-01 00:00:00.000,2015-09-23 00:00:00.000,z,,z,
82874,2015-04-01 04:35:17.286,2003-01-01 00:00:00.000,2015-09-29 00:00:00.000,C,,,
81624,2015-03-10 16:41:15.844,2010-01-01 00:00:00.000,2015-09-23 00:00:00.000,B,,B,
89289,2015-01-30 14:54:16.163,2010-01-01 00:00:00.000,2015-10-13 00:00:00.000,,,,
87918,2015-03-10 20:39:42.859,2010-01-01 00:00:00.000,2015-10-06 00:00:00.000,A,B,,
82174,2015-03-10 14:35:00.623,2003-01-01 00:00:00.000,2015-09-24 00:00:00.000,B,B-,,
88608,2015-04-13 17:16:30.040,2010-01-01 00:00:00.000,2015-10-08 00:00:00.000,B,,,
88610,2015-04-13 17:16:30.040,2003-01-01 00:00:00.000,2015-10-08 00:00:00.000,B,,,
89294,2015-01-30 14:54:16.163,2003-01-01 00:00:00.000,2015-10-13 00:00:00.000,,,,
88620,2015-04-12 07:36:41.532,2010-01-01 00:00:00.000,2015-10-08 00:00:00.000,z,,,
81527,2015-03-24 07:45:26.192,2010-01-01 00:00:00.000,2015-09-23 00:00:00.000,z,,z,
82286,2014-06-26 19:38:39.000,2003-01-01 00:00:00.000,2015-09-24 00:00:00.000,B,,,
82627,2015-03-31 13:54:14.265,2010-01-01 00:00:00.000,2015-09-28 00:00:00.000,B,,,
81535,2015-03-26 04:04:44.547,2010-01-01 00:00:00.000,2015-09-23 00:00:00.000,z,,,
81523,2015-03-26 04:03:52.142,2010-01-01 00:00:00.000,2015-09-23 00:00:00.000,z,,,
88599,2015-04-11 16:19:53.158,2010-01-01 00:00:00.000,2015-10-08 00:00:00.000,z,,,
81524,2015-03-25 00:26:45.380,2010-01-01 00:00:00.000,2015-09-23 00:00:00.000,z,,,
81526,2015-03-24 07:21:13.651,2010-01-01 00:00:00.000,2015-09-23 00:00:00.000,z,,,
81593,2015-03-24 07:21:13.651,2003-01-01 00:00:00.000,2015-09-23 00:00:00.000,z,,,
81554,2015-03-25 00:26:06.374,2010-01-01 00:00:00.000,2015-09-23 00:00:00.000,z,,,
89362,2015-04-16 16:16:51.472,2003-01-01 00:00:00.000,2015-10-13 00:00:00.000,,,,
89342,2015-04-16 16:16:51.472,2010-01-01 00:00:00.000,2015-10-13 00:00:00.000,,,,
88752,2015-04-15 16:46:34.487,2010-01-01 00:00:00.000,2015-10-12 00:00:00.000,,,,
89333,2015-04-16 19:49:22.271,2003-01-01 00:00:00.000,2015-10-13 00:00:00.000,,,,
89332,2015-04-16 14:56:22.320,2003-01-01 00:00:00.000,2015-10-13 00:00:00.000,,,,
89327,2015-04-16 20:49:43.568,2003-01-01 00:00:00.000,2015-10-13 00:00:00.000,,,,
89304,2015-04-16 14:56:22.320,2010-01-01 00:00:00.000,2015-10-13 00:00:00.000,,,,
89302,2015-04-16 20:49:43.568,2010-01-01 00:00:00.000,2015-10-13 00:00:00.000,,,,
89298,2015-04-16 19:49:22.271,2010-01-01 00:00:00.000,2015-10-13 00:00:00.000,,,,
88754,2015-04-15 17:17:56.448,2003-01-01 00:00:00.000,2015-10-12 00:00:00.000,,,,
88753,2015-04-15 16:46:34.487,2003-01-01 00:00:00.000,2015-10-12 00:00:00.000,,,,
88750,2015-04-15 17:17:56.448,2010-01-01 00:00:00.000,2015-10-12 00:00:00.000,,,,
81946,2015-03-27 04:45:57.221,2010-01-01 00:00:00.000,2015-09-24 00:00:00.000,z,,,
84570,2015-04-07 16:08:37.340,2003-01-01 00:00:00.000,2015-10-02 00:00:00.000,C,,,
83491,2015-04-07 16:08:37.340,2010-01-01 00:00:00.000,2015-10-02 00:00:00.000,C,,,
82876,2015-04-01 13:25:46.396,2003-01-01 00:00:00.000,2015-09-29 00:00:00.000,C,,,
82580,2015-03-31 05:50:49.732,2003-01-01 00:00:00.000,2015-09-28 00:00:00.000,z,,,
82534,2015-03-30 05:47:43.184,2003-01-01 00:00:00.000,2015-09-28 00:00:00.000,z,,,
82528,2015-03-31 05:50:49.732,2010-01-01 00:00:00.000,2015-09-28 00:00:00.000,z,,,
82527,2015-03-30 05:47:43.184,2010-01-01 00:00:00.000,2015-09-28 00:00:00.000,z,,,
82448,2015-03-30 05:47:43.184,2003-01-01 00:00:00.000,2015-09-25 00:00:00.000,z,,,
81931,2015-03-27 04:45:57.221,2003-01-01 00:00:00.000,2015-09-24 00:00:00.000,z,,,
